Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH11732,http://cs.wikipedia.org/wiki/Mozaiky,1,,
http://psh.ntkcz.cz/skos/PSH6945,http://cs.wikipedia.org/wiki/Romány,0,http://cs.wikipedia.org/wiki/Rom%C3%A1n,
http://psh.ntkcz.cz/skos/PSH975,http://cs.wikipedia.org/wiki/Ekosystémy,0,http://cs.wikipedia.org/wiki/Ekosyst%C3%A9m,
http://psh.ntkcz.cz/skos/PSH8812,http://cs.wikipedia.org/wiki/Zákony,0,http://cs.wikipedia.org/wiki/Z%C3%A1kon_%28pr%C3%A1vo%29,
http://psh.ntkcz.cz/skos/PSH846,http://cs.wikipedia.org/wiki/Streptokoky,0,http://cs.wikipedia.org/wiki/Streptokok,
http://psh.ntkcz.cz/skos/PSH8761,http://cs.wikipedia.org/wiki/Mlýny,0,http://cs.wikipedia.org/wiki/Ml%C3%BDn,
http://psh.ntkcz.cz/skos/PSH13243,http://cs.wikipedia.org/wiki/Zelinářství,1,,
http://psh.ntkcz.cz/skos/PSH10787,http://cs.wikipedia.org/wiki/Honovací stroj,1,,
http://psh.ntkcz.cz/skos/PSH8423,http://cs.wikipedia.org/wiki/Soudní moc,1,,
http://psh.ntkcz.cz/skos/PSH9329,http://cs.wikipedia.org/wiki/Intuice,1,,
http://psh.ntkcz.cz/skos/PSH173,http://cs.wikipedia.org/wiki/Sklady,0,http://cs.wikipedia.org/wiki/Sklad,
http://psh.ntkcz.cz/skos/PSH6390,http://cs.wikipedia.org/wiki/Výbušniny,1,,
http://psh.ntkcz.cz/skos/PSH5774,http://cs.wikipedia.org/wiki/Rhenium,1,,
http://psh.ntkcz.cz/skos/PSH5671,http://cs.wikipedia.org/wiki/Indikátory,0,http://cs.wikipedia.org/wiki/Indik%C3%A1tor,
http://psh.ntkcz.cz/skos/PSH9695,http://cs.wikipedia.org/wiki/Anarchisté,1,,
http://psh.ntkcz.cz/skos/PSH2919,http://cs.wikipedia.org/wiki/Délka,1,,
http://psh.ntkcz.cz/skos/PSH11883,http://cs.wikipedia.org/wiki/Scénografie,1,,
http://psh.ntkcz.cz/skos/PSH12597,http://cs.wikipedia.org/wiki/Oportunní infekce,1,,
http://psh.ntkcz.cz/skos/PSH7076,http://cs.wikipedia.org/wiki/Ukrajinská literatura,0,,na wiki není článek na toto téma
http://psh.ntkcz.cz/skos/PSH2914,http://cs.wikipedia.org/wiki/Fyzikální veličiny,1,,
http://psh.ntkcz.cz/skos/PSH6316,http://cs.wikipedia.org/wiki/Chemický průmysl,1,,
http://psh.ntkcz.cz/skos/PSH10030,http://cs.wikipedia.org/wiki/Judo,1,,
http://psh.ntkcz.cz/skos/PSH12763,http://cs.wikipedia.org/wiki/Kauterizace,1,,
http://psh.ntkcz.cz/skos/PSH227,http://cs.wikipedia.org/wiki/Halys,0,http://cs.wikipedia.org/wiki/Hala,
http://psh.ntkcz.cz/skos/PSH11288,http://cs.wikipedia.org/wiki/Pokladny,1,,
http://psh.ntkcz.cz/skos/PSH12755,http://cs.wikipedia.org/wiki/Masáž,1,,
